모델,XAI 방법,원본 방법,사례 수,상위 3개 집중도 계산 사례 수,예측 확신도,예측 방향-설명 정합도,핵심 단어 집중도,유효 단어 커버리지,상위 3개 단어 집중도,평균 절대 score,평균 단어 수
CNN,Filter Activation,Filter Activation,30,30,0.9435285170873006,0.8613242773063186,0.35848049068560817,0.8925589225589226,0.7315637372938726,0.14463323713323714,7.433333333333334
CNN,Integrated Gradients 100 steps,Integrated Gradients 100 steps,30,30,0.9435285170873006,0.833729789964724,0.44663470611332007,0.8019071669071669,0.7944577970928884,0.14463323713323714,7.433333333333334
CNN,Integrated Gradients 50 steps,Integrated Gradients 50 steps,30,30,0.9435285170873006,0.833646545649753,0.4467423424132864,0.8019071669071669,0.7943541904678918,0.14463323713323714,7.433333333333334
CNN,Occlusion,"N-gram Occlusion, Unigram Occlusion",30,30,0.9435285170873006,0.9579505223556367,0.48016869114145744,0.8163804713804714,0.8056086528386994,0.13975056555333487,7.433333333333334
FNN,Integrated Gradients 100 steps,Integrated Gradients 100 steps,30,29,0.9092333333333333,0.7957827852370571,0.37850908562340574,0.8756313131313131,0.7524344978115053,0.13954838173400674,7.233333333333333
FNN,Integrated Gradients 50 steps,Integrated Gradients 50 steps,30,29,0.9092333333333333,0.7960824584068092,0.3791125377470288,0.8868350168350169,0.7530594331051766,0.14176021646945647,7.233333333333333
FNN,LIME,LIME,30,29,0.9092333333333333,0.7905050785512578,0.3804558162345519,0.8547414622414622,0.7606853377473929,0.09241729728715728,7.233333333333333
FNN,Occlusion,Occlusion,30,29,0.9092333333333333,0.8651585737328724,0.5072099078842631,0.8195719095719096,0.8225129666097273,0.07454004661375661,7.233333333333333
Transformer,Attention,Attention,30,30,0.9373573799928029,0.5,0.2501306257920812,0.9944444444444445,0.5976040617675361,0.14463297643097642,7.433333333333334
Transformer,Integrated Gradients 100 steps,Integrated Gradients 100 steps,30,30,0.9714090486367544,0.9259348966941224,0.416440746376927,0.8647522847522847,0.7709616705583875,0.14463323782149246,7.433333333333334
Transformer,Integrated Gradients 50 steps,Integrated Gradients 50 steps,30,30,0.9714090486367544,0.8947718524702312,0.40674024988996943,0.8543422318422318,0.7702576069260225,0.1446332376949559,7.433333333333334
Transformer,Occlusion,Occlusion,30,30,0.9714090486367544,0.869946052293614,0.5340770689308365,0.6988852813852814,0.8528835079128186,0.14463323713323714,7.433333333333334
