모델,원본 방법,사례 수,상위 3개 집중도 계산 사례 수,예측 확신도,예측 방향-설명 정합도,핵심 단어 집중도,유효 단어 커버리지,상위 3개 단어 집중도,평균 절대 score,평균 단어 수
CNN,"Integrated Gradients 100 steps, Integrated Gradients 50 steps, N-gram Occlusion, Unigram Occlusion",90,87,0.9429199318091075,0.8749266408803938,0.47376719339617196,0.8181513548180215,0.8006994493269508,0.15569532845187123,7.233333333333333
FNN,"Integrated Gradients 100 steps, Integrated Gradients 50 steps, Occlusion",90,87,0.9092333333333333,0.8190079391255796,0.42161051041823255,0.8606794131794132,0.7760022991754698,0.11861621493907328,7.233333333333333
Transformer,"Integrated Gradients 100 steps, Integrated Gradients 50 steps, Occlusion",90,87,0.9721491714318593,0.8619554551686835,0.4381573657009124,0.8598725348725349,0.775407877458273,0.1573436736790446,7.233333333333333
